key,display_name,qr_payload,category,status,notes
safety_shower,Safety Shower,https://www.youtube.com/watch?v=sMwTYyQzzS0,Lab Safety,active,Activate for chemical spills on skin/clothes; pull handle and remove contaminated clothing.
eye_wash,Eye Wash Station,https://www.youtube.com/watch?v=7RXExier0rA,Lab Safety,active,Use for chemical/biological eye exposure with 15-minute rinsing.
first_aid,First Aid Kit,,Lab Safety,hidden,"Location, supplies, and emergency response steps."
ultra_low_freezer,Ultra-Low -80°C Freezer,,Supervisor-Only,hidden,"Sample storage, labeling, frost control, and safe access."
chemical_cabinets,Chemical Cabinets,,Supervisor-Only,hidden,Access rules and safety protocols.
allegra_v15r,Allegra V-15R Refrigerated Centrifuge,,Supervisor-Only,hidden,"Rotor setup, balancing, programming, and shutdown."
q500_sonicator,Q500 Sonicator (Qsonica),,Supervisor-Only,hidden,"Probe use, sample prep, and hearing protection."
microwave,Microwave,,Mandatory,hidden,"Safe liquid heating, agar risks, and thermal glove use."
owl_easycast,Owl EasyCast B1 Mini Gel System,,Mandatory,hidden,"Gel casting, loading, and electrophoresis safety."
innova42,Innova 42 Incubator Shaker,,Training available,hidden,"Temperature, RPM, platform setup, and operation."
powerpac,PowerPac HC High-Current Power Supply,,Training available,hidden,"Setup, voltage/current limits, and shutdown."
miniprotean,Mini-PROTEAN Tetra Cell (1.0 mm Gels),,Training available,hidden,"Gel casting, assembly, and protein gel running."
transblot,Trans-Blot Turbo Transfer System,,Training available,hidden,"Membrane prep, transfer setup, and run programming."
micropulser,BIO-RAD MicroPulser Electroporator,,Training available,hidden,"Cuvette loading, electroporation safety, and recovery."
proflex,Applied Biosystems ProFlex PCR System (3 × 32-well),,Training available,hidden,"Block setup, thermal cycle programming, and lid handling."
minispin,Eppendorf MiniSpin,,Training available,hidden,"Rotor use, balancing, and speed/time settings."
isotemp,Fisherbrand Isotemp Microbiological Incubator (180 L),,Training available,hidden,"Temperature control, shelf setup, and safe operation."
incumixer,Benchmark Incu-Mixer Mp2 Heated Plate Vortexer,,Training available,hidden,"Heating, mixing modes, and sample safety."
innova42r,Eppendorf New Brunswick Innova 42/42R Incubator Shaker,,Training available,hidden,"Temperature, RPM, and platform setup."
torrey_pines,Torrey Pines Digital 2-Position Chilling/Heating Dry Bath,,Training available,hidden,"Temperature settings, block use, and E. coli heat shock."