label_id,display_name,qr_payload,category,status,notes
safety_shower,Safety Shower,https://www.youtube.com/watch?v=sMwTYyQzzS0,Lab Safety,active,Activate for chemical spills on skin/clothes; pull handle and remove contaminated clothing.
eye_wash,Eye Wash Station,https://www.youtube.com/watch?v=7RXExier0rA,Lab Safety,active,Use for chemical/biological eye exposure with 15-minute rinsing.
fire_extinguisher,Kiddo Fire Extinguisher,https://www.youtube.com/watch?v=PQV71INDaqY,Lab Safety,active,"Use for small, contained fires; pull pin, aim at base, squeeze handle, and sweep side to side (PASS method)."
first_aid,First Aid Kit,https://www.redcross.org.uk/first-aid/learn-first-aid/bleeding-heavily,Lab Safety,active,"Location, supplies, and emergency response steps."
minus_80,Ultra-Low -80°C Freezer,https://ucb-bioe-anderson-lab.github.io/cloning-tutorials/trainings/minus_80/,Supervisor-Only,active,"Sample storage, labeling, frost control, and safe access."
chemical_cabinets,Chemical Cabinets,https://ucb-bioe-anderson-lab.github.io/cloning-tutorials/trainings/chemical_cabinets/,Supervisor-Only,active,Access rules and safety protocols.
chemical_hood,Chemical Hood,,Supervisor-Only,hidden,
allegra_v15r,Allegra V-15R Refrigerated Centrifuge,https://ucb-bioe-anderson-lab.github.io/cloning-tutorials/trainings/allegra_v15r/,Supervisor-Only,active,"Rotor setup, balancing, programming, and shutdown."
q500_sonicator,Q500 Sonicator (Qsonica),https://ucb-bioe-anderson-lab.github.io/cloning-tutorials/trainings/q500_sonicator/,Supervisor-Only,active,"Probe use, sample prep, and hearing protection."
microwave,Microwave,https://ucb-bioe-anderson-lab.github.io/cloning-tutorials/trainings/microwave/,Mandatory,active,"Safe liquid heating, agar risks, and thermal glove use."
owl_easycast,Owl EasyCast B1 Mini Gel System,,Mandatory,hidden,"Gel casting, loading, and electrophoresis safety."
innova42,Innova 42 Incubator Shaker,,Training available,hidden,"Temperature, RPM, platform setup, and operation."
powerpac,PowerPac HC High-Current Power Supply,,Training available,hidden,"Setup, voltage/current limits, and shutdown."
miniprotean,Mini-PROTEAN Tetra Cell (1.0 mm Gels),,Training available,hidden,"Gel casting, assembly, and protein gel running."
transblot,Trans-Blot Turbo Transfer System,,Training available,hidden,"Membrane prep, transfer setup, and run programming."
micropulser,BIO-RAD MicroPulser Electroporator,,Training available,hidden,"Cuvette loading, electroporation safety, and recovery."
proflex,Applied Biosystems ProFlex PCR System (3 × 32-well),https://ucb-bioe-anderson-lab.github.io/cloning-tutorials/trainings/proflex/,Training available,active,"Block setup, thermal cycle programming, and lid handling."
minispin,Eppendorf MiniSpin,,Training available,hidden,"Rotor use, balancing, and speed/time settings."
isotemp,Fisherbrand Isotemp Microbiological Incubator (180 L),,Training available,hidden,"Temperature control, shelf setup, and safe operation."
incumixer,Benchmark Incu-Mixer Mp2 Heated Plate Vortexer,,Training available,hidden,"Heating, mixing modes, and sample safety."
innova42r,Eppendorf New Brunswick Innova 42/42R Incubator Shaker,,Training available,hidden,"Temperature, RPM, and platform setup."
echotherm,Torrey Pines Digital 2-Position Chilling/Heating Dry Bath,https://ucb-bioe-anderson-lab.github.io/cloning-tutorials/trainings/echotherm/,Training available,active,"Temperature settings, block use, and E. coli heat shock."
tecan_mnano,Tecan Mnano,https://ucb-bioe-anderson-lab.github.io/cloning-tutorials/trainings/tecan_mnano/,Mandatory,active,"Software usage, maintenance, care"
spectramax,,,Training available,hidden,
pressure_cooker,,,Mandatory,hidden,